,reward
0,-36.0
1,-145.2
2,-36.0
3,-40.4
4,-60.4
5,-41.2
6,-44.8
7,-98.0
8,-96.4
9,-118.0
10,-138.8
11,-49.2
12,-34.0
13,-148.0
14,-126.0
15,-121.6
16,-128.0
17,-146.4
18,-124.8
19,-74.4
20,-26.0
21,-48.4
22,-85.2
23,-145.6
24,-109.2
25,-104.4
26,-104.4
27,-138.0
28,-150.4
29,-145.6
30,-134.8
31,-137.6
32,-130.8
33,-78.8
34,-145.6
35,-100.0
36,-142.8
37,-147.6
38,-147.6
39,-108.4
40,-111.2
41,-74.4
42,-92.8
43,-105.2
44,-98.4
45,-98.4
46,-102.4
47,-80.0
48,-98.4
49,-98.4
50,-83.2
51,-98.0
52,-78.0
53,-98.4
54,-72.8
55,-98.4
56,-82.8
57,-88.8
58,-83.2
59,-49.2
60,-102.0
61,-78.4
62,-93.2
63,-106.8
64,-98.4
65,-124.4
66,-114.0
67,-95.2
68,-104.8
69,-106.4
70,-69.2
71,-62.0
72,-122.8
73,-56.8
74,-131.6
75,-126.8
76,-113.2
77,-131.6
78,-110.8
79,-131.6
80,-122.4
81,-126.8
82,-126.4
83,-131.6
84,-103.2
85,-112.8
86,-126.0
87,-131.6
88,-122.4
89,-131.6
90,-113.2
91,-96.4
92,-123.2
93,-74.8
94,-84.8
95,-131.6
96,-103.2
97,-131.6
98,-116.8
99,-92.4
100,-131.6
101,-126.8
102,-131.6
103,-131.6
104,-122.4
105,-98.8
106,-79.2
107,-131.6
108,-122.4
109,-140.8
110,-88.8
111,-85.6
112,-153.2
113,-131.6
114,-131.6
115,-77.6
116,-87.2
117,-88.8
118,-79.2
119,-131.6
120,-126.8
121,-123.2
122,-131.6
123,-122.4
124,-16.0
125,-131.6
126,-131.6
127,-103.2
128,-131.6
129,-131.6
130,-131.6
131,-131.6
132,-98.4
133,-131.6
134,-105.6
135,-112.8
136,-103.2
137,-118.0
138,-131.6
139,-122.4
140,-132.0
141,-122.8
142,-131.6
143,-93.6
144,-131.2
145,-124.4
146,-103.2
147,-91.2
148,-128.4
149,-127.2
150,-140.4
151,-77.2
152,-84.0
153,-131.6
154,-98.4
155,-88.0
156,-112.8
157,-20.0
158,-69.6
159,-126.4
160,-101.2
161,-131.6
162,-132.0
163,-89.2
164,-144.8
165,-130.0
166,-131.6
167,-72.8
168,-122.8
169,-114.0
170,-82.0
171,-131.6
172,-107.6
173,-79.2
174,-131.6
175,-103.2
176,-116.4
177,-84.8
178,-116.4
179,-131.6
180,-131.6
181,-127.2
182,-37.6
183,-118.4
184,-131.6
185,-131.6
186,-122.8
187,-131.6
188,-4.666666666666667
189,-94.4
190,-116.4
191,-131.6
192,-131.6
193,-91.2
194,-121.6
195,-79.2
196,-71.6
197,-86.4
198,-131.6
199,-83.2
200,-96.8
201,-70.4
202,-126.8
203,-87.6
204,-138.4
205,-131.6
206,-131.6
207,-131.6
208,-122.8
209,-88.8
210,-84.8
211,-118.4
212,-131.6
213,-127.2
214,-131.6
215,-105.2
216,-84.4
217,-88.8
218,-72.4
219,-123.2
220,-131.6
221,-96.8
222,-98.4
223,-117.2
224,-125.2
225,-112.8
226,-131.6
227,-122.8
228,-80.0
229,-131.6
230,-122.4
231,-131.6
232,-54.8
233,-131.6
234,-111.6
235,-118.0
236,-131.6
237,-112.4
238,-127.6
239,-61.6
240,-72.8
241,-131.6
242,-124.4
243,-131.6
244,-131.6
245,-55.2
246,-116.4
247,-131.6
248,-94.0
249,-124.0
250,-131.6
251,-140.8
252,-144.8
253,-97.6
254,-131.6
255,-94.0
256,-131.6
257,-89.6
258,-110.0
259,-111.2
260,-131.6
261,-112.8
262,-114.0
263,-118.4
264,-122.4
265,-127.2
266,-131.6
267,-110.8
268,-76.0
269,-131.6
270,-103.2
271,-121.6
272,-122.4
273,-131.6
274,480.0
275,-60.4
276,-131.2
277,-121.6
278,-64.0
279,-118.0
280,-50.8
281,-71.6
282,-131.6
283,-116.4
284,-131.6
285,-122.0
286,-131.6
287,-103.2
288,-131.6
289,-126.8
290,-122.4
291,-126.8
292,-131.6
293,-52.8
294,-43.2
295,-118.4
296,-105.6
297,-131.6
298,-113.6
299,-145.2
300,-126.8
301,-109.6
302,-131.6
303,-131.6
304,-65.2
305,-116.8
306,-74.8
307,-131.6
308,-123.2
309,-122.4
310,-88.8
311,-131.6
312,-131.2
313,-131.6
314,-108.8
315,-131.6
316,-114.4
317,-131.6
318,-118.0
319,-126.8
320,-131.6
321,-109.6
322,-118.0
323,-102.0
324,-22.8
325,-93.6
326,-116.4
327,-110.8
328,-131.6
329,-135.6
330,-131.6
331,-127.6
332,-131.6
333,-131.6
334,-131.6
335,-131.2
336,-131.6
337,-131.6
338,-131.6
339,-131.6
340,-136.0
341,-41.6
342,-131.6
343,-113.6
344,-131.6
345,-127.2
346,-76.0
347,-28.0
348,-136.0
349,-64.8
350,-131.6
351,-117.6
352,-94.8
353,-131.6
354,-127.2
355,-67.6
356,-131.6
357,-118.4
358,-121.6
359,-122.4
360,-61.2
361,-112.8
362,-105.6
363,-131.6
364,-131.6
365,-131.6
366,-131.6
367,-131.6
368,-130.8
369,-110.8
370,-144.0
371,-102.0
372,-72.8
373,-131.6
374,-84.4
375,-131.6
376,-69.2
377,-131.6
378,-145.2
379,-131.6
380,-116.8
381,-126.8
382,-53.2
383,-122.4
384,-154.0
385,-104.4
386,-131.6
387,-129.6
388,-131.6
389,-77.6
390,-112.8
391,-122.8
392,-96.8
393,-122.8
394,-131.6
395,-126.8
396,-80.0
397,-88.8
398,-103.2
399,-78.8
400,-60.4
401,-117.2
402,-131.6
403,-88.8
404,-131.6
405,-126.8
406,-93.6
407,-122.0
408,-136.0
409,-131.6
410,-131.6
411,-118.0
412,-131.6
413,-131.6
414,-110.8
415,-108.8
416,-125.6
417,-111.2
418,-131.6
419,-120.0
420,-131.6
421,-112.8
422,-131.6
423,-127.2
424,-75.6
425,-103.6
426,-131.6
427,-93.6
428,-114.4
429,-93.6
430,-103.2
431,-72.8
432,-131.6
433,-142.4
434,-131.6
435,-116.4
436,-112.8
437,-126.0
438,-137.2
439,-131.6
440,-77.2
441,-112.8
442,-124.4
443,-131.6
444,-103.2
445,-131.6
446,-131.6
447,-126.8
448,-73.2
449,-98.8
450,-126.8
451,-110.8
452,-122.4
453,-131.6
454,-122.8
455,-144.8
456,-93.6
457,-131.6
458,-131.6
459,-131.6
460,-115.2
461,-131.6
462,-88.8
463,-131.6
464,-131.6
465,-94.0
466,-136.4
467,-131.6
468,-118.8
469,-78.0
470,-92.4
471,-110.0
472,-131.6
473,-131.6
474,-145.2
475,-122.4
476,-84.8
477,-131.6
478,-144.8
479,-160.4
480,-77.2
481,-131.6
482,-88.8
483,-107.2
484,-118.0
485,-116.0
486,-93.6
487,-131.6
488,-112.8
489,-131.6
490,-131.6
491,-131.6
492,-81.2
493,-131.6
494,-131.6
495,-122.4
496,-127.2
497,-90.8
498,-114.4
499,-105.2
500,-127.2
501,-107.6
502,-61.2
503,-110.8
504,-112.8
505,-118.0
506,-131.6
507,-98.0
508,-131.6
509,-108.0
510,-131.6
511,-70.0
512,-78.8
513,-118.4
514,-131.6
515,-131.6
516,-131.6
517,-144.4
518,-121.6
519,-122.4
520,-88.8
521,-131.6
522,-88.8
523,-103.2
524,-80.0
525,-81.2
526,-126.0
527,-150.4
528,-131.6
529,-93.6
530,-131.6
531,-91.6
532,-138.4
533,-131.6
534,-127.2
535,-131.6
536,-93.6
537,-145.2
538,-131.6
539,-140.0
540,-107.2
541,-114.0
542,-124.0
543,-131.6
544,-135.6
545,-94.0
546,-118.0
547,-131.6
548,-142.0
549,-131.6
550,-138.4
551,-126.8
552,-82.0
553,-44.8
554,-122.8
555,-115.6
556,-112.8
557,-136.0
558,-131.6
559,-131.6
560,-72.8
561,-131.6
562,-136.8
563,-131.6
564,-81.6
565,-123.2
566,-131.6
567,-43.6
568,-98.4
569,-131.6
570,-131.6
571,-128.8
572,-123.2
573,-131.6
574,-131.6
575,-109.2
576,-131.6
577,-109.6
578,-75.6
579,-92.4
580,-109.6
581,-119.6
582,-93.6
583,-118.8
584,-145.6
585,-131.6
586,-131.6
587,-122.4
588,-131.6
589,-123.2
590,-96.0
591,-131.6
592,-126.8
593,-133.6
594,-112.8
595,-93.6
596,-140.0
597,-62.4
598,-131.6
599,-102.4
600,-74.8
601,-127.2
602,-113.6
603,-131.6
604,-127.2
605,-122.4
606,-131.6
607,-105.2
608,-150.0
609,-18.8
610,-88.8
611,-131.6
612,-107.2
613,-122.4
614,-131.6
615,-114.0
616,-114.4
617,-88.8
618,-108.0
619,-131.6
620,-123.2
621,-131.6
622,-115.6
623,-119.2
624,-131.6
625,-126.8
626,-105.6
627,-104.4
628,-127.2
629,-131.6
630,-113.2
631,-131.6
632,-77.6
633,-131.6
634,-91.6
635,-131.6
636,-127.6
637,-126.0
638,-131.6
639,-131.6
640,-127.6
641,-114.4
642,-127.6
643,-88.8
644,-108.4
645,-131.6
646,-131.6
647,-103.2
648,-131.6
649,-92.0
650,-142.0
651,-123.2
652,-140.0
653,-131.6
654,-131.6
655,-63.2
656,-101.2
657,-22.8
658,-126.8
659,-122.8
660,-126.8
661,-131.6
662,-115.6
663,-118.0
664,-45.2
665,-68.4
666,-131.6
667,-79.2
668,-93.6
669,-158.0
670,-131.6
671,-127.6
672,-131.6
673,-110.8
674,-98.0
675,-131.6
676,-69.6
677,-92.4
678,-94.0
679,-126.8
680,-131.6
681,-131.6
682,-131.6
683,-131.6
684,-131.6
685,-127.6
686,-93.6
687,-113.2
688,-118.0
689,-131.6
690,-85.6
691,-131.6
692,-88.8
693,-104.8
694,-123.2
695,-131.6
696,-131.6
697,-131.6
698,-131.6
699,-122.4
700,-131.6
701,-131.6
702,-131.6
703,-98.0
704,-105.6
705,-131.6
706,-88.8
707,-131.6
708,-131.6
709,-131.6
710,-131.6
711,-107.6
712,-88.8
713,-88.8
714,-93.6
715,-122.4
716,-131.6
717,-110.0
718,-79.2
719,-116.0
720,-117.2
721,-93.6
722,-131.6
723,-88.8
724,-123.2
725,-131.6
726,-65.6
727,-131.6
728,-94.0
729,-93.6
730,-92.0
731,-131.6
732,-131.6
733,-116.4
734,-72.8
735,-108.8
736,-118.4
737,-131.6
738,-131.6
739,-131.6
740,-131.6
741,-131.6
742,-131.6
743,-74.4
744,-121.6
745,-131.6
746,-122.8
747,-88.8
748,-114.4
749,-65.6
750,-111.2
751,-95.6
752,-131.6
753,-123.2
754,-131.6
755,-108.4
756,-118.8
757,-131.6
758,-123.2
759,-75.2
760,-131.6
761,-150.4
762,-131.6
763,-92.4
764,-103.2
765,-131.6
766,-92.4
767,-131.6
768,-131.6
769,-160.0
770,-90.4
771,-131.6
772,-131.6
773,-131.6
774,-131.6
775,-92.4
776,-128.4
777,-91.6
778,-131.6
779,-90.4
780,-127.2
781,-131.2
782,-111.2
783,-131.6
784,-127.2
785,-118.0
786,-131.6
787,-65.2
788,-127.2
789,-162.0
790,-130.8
791,-127.2
792,-131.6
793,-120.8
794,-131.6
795,-123.2
796,-122.8
797,-131.6
798,-79.2
799,-122.4
800,-131.6
801,-131.6
802,-136.8
803,-131.6
804,-127.2
805,-92.4
806,-110.8
807,-131.6
808,-118.8
809,-56.8
810,-79.6
811,-131.6
812,-131.6
813,-98.0
814,-122.4
815,-116.8
816,-92.4
817,-123.2
818,-122.4
819,-120.8
820,-122.8
821,-50.8
822,-131.6
823,-131.6
824,-93.6
825,-134.0
826,-68.4
827,-131.6
828,-126.8
829,-122.4
830,-131.6
831,-131.6
832,-131.6
833,-112.8
834,-104.8
835,-104.8
836,-131.6
837,-125.2
838,-131.6
839,-122.4
840,-88.8
841,-131.6
842,-107.2
843,-131.6
844,-58.0
845,-83.6
846,-131.6
847,-131.6
848,-98.4
849,-51.2
850,-22.8
851,-127.6
